R,A1,A2,A3,Q1,Q2,Q3,Q4
0.5737124093339634,0,1,1,1.5915841336046728,2.9817196313751446,-1.1257243583337826,0.46180096706575235
0.7061257953494887,1,1,1,2.7415878357769348,0.684160510262392,-5.877015756433438,0.9163368580583657
0.32925626282510867,1,1,0,-9.30791146394479,0.28554191995518297,-3.79354672007475,-1.06641575848107
0.644955990417898,0,0,0,-1.299926026397061,0.30046436108942587,-0.6018313906231456,4.538206815867315
0.40529629610999446,0,0,1,-0.8301132272577759,1.2042717765952606,5.021132559130257,-3.5718653303003
0.2699187345369507,0,1,0,1.890894001352026,2.375697291261794,3.006314388774104,0.5781176343068055
0.540125746069611,1,1,1,4.192082189253481,0.2502920844470137,-1.9330433254401231,1.0882335627996267
0.44147304425610384,1,0,1,-0.38591410100905404,2.387961591708816,-1.3129048230331732,-1.8567946753329956
0.3988893475360989,0,0,0,-1.4508766519511127,0.12275398801059823,3.5205177307087654,-3.0115720253469584
0.39401939905610117,0,1,1,2.281257747095226,0.6199637663593082,5.044905938891947,-0.9112393999195847
0.29509757848968227,0,0,0,-1.8757858592594245,0.37993547544200745,1.59124458966461,3.094538154484261
0.591394302450302,1,0,0,1.8633537672697353,2.0960470866680225,-5.308916001904682,0.08372574621950016
0.6287056106384475,0,0,0,-0.1913805783262213,1.998131419561373,-2.904825046917563,0.04871056575514149
0.5185599751061846,0,1,0,3.6623842149184007,1.445467288245363,-0.6347560243758457,0.2789965883902052
0.47596031406792627,0,0,1,2.5089947440447347,1.8325968063913638,3.842286228552869,-0.7136315151605054
0.6875638143327676,0,1,1,1.2953017617745437,0.9165815092992967,0.7578088247865284,-6.017789459143746
0.5934625209390317,1,0,0,1.338235318600577,0.6376048066963846,-1.4603940761565206,-1.6555479402328919
0.27583618562083756,1,0,1,2.983703716414478,1.0900201652495807,-3.2145456934898355,-5.059751939833689
0.5375211673403403,1,1,0,-0.0313421136375987,1.0766727650164896,3.7994522374760695,-3.869611539750342
0.4761630928961729,1,0,1,-2.0122159778656963,2.8271104503446782,1.278799216983896,0.3596132577640334
0.4246814903643064,0,0,0,5.289137744357768,2.179607472320236,-0.5855089531493352,4.826865291420199
0.6240082278680044,1,1,0,5.004238438890157,2.968939140415107,1.278914474835958,0.7122734196159155
0.5224005647728717,0,0,0,3.735148157419644,2.0718054763536253,-1.9178770385107557,-4.514010977907292
0.6924308650535025,1,1,1,-1.3613939787506264,1.4667536176607907,0.5824365183115027,-3.2295622816721092
0.647074203270037,0,1,0,-1.1017964481958615,1.1551285186897982,1.4270048783840426,4.108703832732285
0.4462413123440566,1,0,0,-1.844958947382065,1.4475647382477952,1.8097439523166625,2.2101701321947838
